id;name;host_id;host_name;neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
15711;2 bedroom - Upper East Side-great for kids;61491;D;Manhattan;Upper East Side;Entire home/apt;250;2;66;30/03/2019;0.57;2;231
16326;Comfortable 4-bedroom apt in family house.;63588;Dimitri;Brooklyn;Prospect Heights;Entire home/apt;200;30;143;26/01/2019;1.33;2;297
16338;Double Room w Private Deck Clinton Hill Best Area;63613;Patricia;Brooklyn;Clinton Hill;Private room;55;7;27;30/09/2017;0.23;2;292
16421;Your Heaven in Hells Kitchen;63924;Mark;Manhattan;Hell's Kitchen;Private room;52;30;191;16/05/2019;1.65;1;191
16458;Light-filled 2B duplex in the heart of Park Slope!;64056;Sara;Brooklyn;Park Slope;Entire home/apt;225;3;4;24/09/2017;0.16;1;0
16580;Sunny, Modern room in East Village!;64442;Reka;Manhattan;East Village;Private room;80;1;338;01/07/2019;4.72;2;72
16595;*HAVEN LOFT - Entire Floor - Six Windows - Bricks*;64522;Daniel;Brooklyn;Williamsburg;Entire home/apt;275;1;148;23/06/2019;1.40;1;362
16821;Large Room in Amazing East Village Apt;4396;Casey;Manhattan;East Village;Private room;99;1;106;21/06/2019;1.26;2;336
16974;SpaHa Loft: Enormous and Bright;65837;Robin;Manhattan;East Harlem;Entire home/apt;225;4;190;23/06/2019;1.64;1;215
17037;Lovely EV Artist's Home;66035;Anna;Manhattan;East Village;Entire home/apt;230;9;49;14/05/2018;0.43;1;116
17092;Cool Room in Hell's Kitchen;66243;Enzo;Manhattan;Hell's Kitchen;Private room;51;7;23;01/06/2019;0.43;1;88
17693;HARLEM, NEW YORK WELCOMES YOU!!;68428;Tye And Etienne;Manhattan;Washington Heights;Private room;65;2;49;18/06/2019;1.60;2;336
17747;BLUE TRIM GUEST HOUSE;68599;George;Brooklyn;Clinton Hill;Private room;105;2;105;26/06/2019;0.92;1;304
18127;Charming East Village One Bedroom Flat;69829;Josh;Manhattan;East Village;Entire home/apt;190;5;21;02/01/2019;0.20;1;224
18152;Manhattan Room;69942;Victoria;Manhattan;Upper East Side;Private room;200;1;142;06/07/2019;1.50;1;322
18198;Little King of Queens;70091;Justin;Queens;Woodside;Private room;70;30;25;31/05/2019;0.22;1;324
18590;Fort Greene Retreat on the Park;71512;Blaise;Brooklyn;Fort Greene;Private room;95;3;143;16/06/2019;1.28;1;132
18728;Beautiful Meatpacking District Loft;71876;DAVID And RICK;Manhattan;Chelsea;Private room;150;3;167;28/05/2019;1.65;1;295
18764;Cozy 2 BR in Williamsburg ;72014;Lulú;Brooklyn;Williamsburg;Private room;145;3;61;22/04/2019;0.54;4;238
19159;Spacious luminous apt Upper West NYC;73051;Sybilla;Manhattan;Harlem;Entire home/apt;110;31;54;23/03/2019;0.49;1;209
19169;Entire 2 Bedroom - Large & Sunny;73128;JoLynn;Manhattan;Lower East Side;Entire home/apt;285;5;70;30/06/2019;0.62;1;328
19282;Sunny, Spacious Top Floor Haven;73469;Gaia;Brooklyn;Flatbush;Entire home/apt;130;6;16;15/06/2019;0.15;1;38
19319;Private room Great Deal at Lower East Side;44263;Ana;Manhattan;Lower East Side;Private room;94;30;94;08/04/2019;0.84;1;188
19601;perfect for a family or small group;74303;Maggie;Brooklyn;Brooklyn Heights;Entire home/apt;800;1;25;04/08/2016;0.24;1;7
19812;2 bedroom Williamsburg Apt - Bedford L stop;74857;Starlee;Brooklyn;Williamsburg;Entire home/apt;105;3;61;09/08/2018;0.53;1;272
20299;Oh glorious spring!;62407;Edward;Manhattan;East Village;Private room;60;3;194;30/06/2019;1.73;1;26
20300;Great Location for NYC;76627;Pas;Manhattan;East Village;Private room;50;1;2;14/02/2016;0.05;1;0
20611;Cozy Bedroom in Williamsburg 3 BR;72014;Lulú;Brooklyn;Williamsburg;Private room;85;3;174;22/06/2019;1.54;4;288
20724;Sunny room+Pvte office in huge loft;961342;Augustin;Brooklyn;Bushwick;Private room;65;4;24;26/05/2019;0.28;1;317
20734;Spacious Prospect Heights Apartment;78460;Sean & Lynette;Brooklyn;Prospect Heights;Entire home/apt;131;4;166;27/06/2019;3.40;1;207
20755;Large Parlor Room, Landmark Home 1 block to PRATT;51038;Erica;Brooklyn;Clinton Hill;Private room;98;7;16;31/05/2019;0.20;6;185
20853;2-bed brownstone duplex + garden;79070;Tracy;Brooklyn;Prospect Heights;Entire home/apt;250;7;21;21/05/2019;0.30;1;158
20913;Charming 1 bed GR8 WBurg LOCATION!;79402;Christiana;Brooklyn;Williamsburg;Entire home/apt;100;5;168;22/07/2018;1.57;1;0
21293;Sunny Apartment in Artist Home;44145;Tyrome;Brooklyn;Bushwick;Entire home/apt;105;3;118;18/06/2019;1.05;2;9
21456;Light-filled classic Central Park ;42032;Dana;Manhattan;Upper West Side;Entire home/apt;140;3;81;07/07/2019;0.71;1;198
21644;Upper Manhattan, New York;82685;Elliott;Manhattan;Harlem;Private room;89;1;1;09/10/2018;0.11;1;365
21794;COZY QUIET room 4 DOOGLERS!;83257;Olan;Manhattan;Chelsea;Private room;98;30;30;01/05/2019;0.27;2;364
22911;The Stuydio Modern and Light Filled;87773;Shelly;Brooklyn;Bedford-Stuyvesant;Entire home/apt;125;7;139;28/10/2018;1.23;2;311
22918;loft bed - near transportation-15min to times sq;32294;Ssameer Or Trip;Manhattan;Harlem;Private room;60;3;11;03/01/2019;0.87;3;219
23135;House On Henry (3rd FLR Suite);11481;Annette;Brooklyn;Carroll Gardens;Entire home/apt;175;2;233;24/06/2019;2.09;3;342
